title,body,date
もの凄く大きな湖でした。,十和田湖は大きな半島が２つあり、３つの湾に分かれているので陸上から全てを見ることができませんがこのツアーに参加して湖に出てみると十和田湖の大きさに驚かされます。特別保護区域の中の「イトムカの入り江」の青さには感動しました。,2014-05-01 
秋田のすばらしい遺産,平野政吉美術館は、千秋公園の入り口。写真のお堀を渡ったすぐのところ。久保田城の石碑が建つあたりが入り口です。個人の名前の付いた美術館なのですが、それにしては平野政吉は聞いたことがありません。なかなか入る気がしなかったのですが、入ってびっくり。。藤田嗣治の見たこともないような大きな作品がありました。内容は、秋田のどこか田舎町でしょうか。町のお祭り。舞台で、出し物を演じる人、その周囲には、祭りを楽しむ人の群れ。それぞれが、勝手に楽しんでいるのですが、それらの動きを全体としてまとまりのある構成に仕上げています。こうした力は、並みの画家ではできません。パリで認められた力のすごさを存分に味わうことができました。秋田にちなんだ題財ですし、秋田のすばらしい遺産ですね。,2009-07-01 
世界最大の二重カルデラ湖　,この時期はホテルも遊覧船も冬期休業中で、一部の湖畔に出れる場所から景色を眺めるだけしかできませんでした。人を寄せ付けない複雑な地形をした十和田湖観光はカヌーツアーかボートツアー、遊覧船に乗るのが一般的ですが、素晴らしい景色が眺められる６ヶ所くらいある展望所巡りもオススメです。,2015-03-01 
研修・合宿向けのホテル,秋田空港に一番近いホテルですが、立地場所が良くなく車がないと不便です。近くに飲食店やｺﾝﾋﾞﾆなど皆無なので買い物・食事は済ませておいた方が良いと思います｡ただ、向かいが秋田県立中央公園スポーツエリアなので、森に囲まれた緑あふれる静かな環境で、ビジネス・研修・合宿には最適です｡因みに、スポーツエリアにあるフィールドアスレチックはかなりの規模で驚きます。,2010-12-01 
秋田杉てんこ盛り！情緒たっぷり、新屋駅から10分の温泉,秋田の温泉って有名どころは秋田駅周辺にはありません。情緒たっぷりな温泉を探していて、この新屋温泉に行ってみました。駅から歩いて10分ほどですが、看板も案内もありませんので、「ここか？」って感じです。地元の方がメイン利用でクルマが頻繁に出入りしているのでわかります。入場時に入浴500円もしくは休憩所利用1000円を払います。浴槽は水？、源泉100%、源泉50%（ぬるめ）と3種類ありますが、源泉100%でもそれほど熱くありません。サウナとかはありませんので、じっくり入るだけです。廊下もトイレも秋田杉でおおっ！って感じです。秋田駅周辺には「秋田温泉」「こまちの湯」なども日帰り温泉です。,2011-11-01 
景色が綺麗な八幡平,八幡平は景色がとても綺麗です。天気が良い日は山が綺麗に見えます。車でずっと登って行きましたが、駐車場もありますし、混んでいましたが停められました。夏でも上は風が強く寒いので、軽く羽織るものを持っていくと良いと思います。,2014-08-01 
枝垂れ桜が見事！樺細工の実演も見られます,母が樺細工の茶筒を昔から大事に使っていることもあり、樺細工というとどこか懐かしさを感じます。山桜の樹皮を使っているそうで、こちらでは細工の実演も見られます。入館する時間がないという方もお庭は必見です。ここの枝垂れ桜は角館の開花を予想する木でもあるそうで、とても見事な木です。角館というと黒板塀という和のイメージですが、伝承館の建物は洋館のようなたたずまいで、この建物と桜のコラボレーションもまた趣きがあります。,2012-05-01 
こんな最悪なビュフェは初めてでした,フリーペーパーに掲載されていたので　ちょっと遠かったですがドライブがてらに行ってみました。ランチビュフェが手ごろな値段で味わえるらしいので　お店の中は　満席状態でした。しかし、料理がない！出てこない！時間制限あり！あまりにもひどいので　料理がどおしてたくさん出さないのですか？とたずねたら　冷めるからとの返事でした。冷める以前に料理が少なすぎてみんなにあたりません。客の人数のわりには　厨房がおいついていないみたいです。ここは、ビュフェをやっていても　単品のメニューもオーダーうけているみたいで　よけいに料理が間に合わないみたいでした。料理の味も　普通でした（個人的な感想です）あまりにも頭にきたので　お金返してもらいたいぐらいと文句を言ったら返してよこそうとしましたが　受け取らなかったです。もう絶対２回はないです。あえて　その時の状態の写真をのせました。,2015-12-01 
たまに食べたくなる京都発祥のラーメン屋さん。,某テレビ局のケンミンのための番組など全国放送のテレビでもたびたび取り上げられる秋田県民お気に入りのラーメンのようですが発祥は京都のラーメン屋さんでのれん分けされたようです。オーソドックスな中華そばは真っ黒なスープが特徴ですが富山ブラックのような濃さはなく意外とあっさりいけます。なんとなく時々食べたくなる、そんなラーメン屋さんです。,2016-01-01 
高級感のあるホテル,秋田駅から徒歩５分。見るからに高級感漂うホテルでビックリ。ホテルの対応も丁寧で最上級の”おもてなし”といった感じです。部屋も広くて寛げました。本来はビジネスユースで使用するホテルではないのかもしれませんが、値段からすれば、十分にビジネスとしても利用できるかなと思います。,2015-02-01 
秘湯！,ずっと行きたかった宿で、期待値も大きかったのですが、それを上回る満足度でした＾＾。建物はもちろん古いのですが、清潔に整えられているし、スタッフの方はみんな親切です。宿全体がタイムスリップしたかの様な景色で、写真好きの方にもおすすめです＾＾お料理も期待以上においしかったです＾＾お酒類が安くておいしいのに驚きました。お湯は今までの温泉ってなんだったのだろうと思うほどです。お湯が適温でジャージャー出るようなシャワーなどはないのですが、それを差し置いても素晴らしいです。「黒湯」の温まり方に感動しました＾＾近代的な設備がお好きな方にはあんまりかもしれませんが、それ以外の温泉好きの方にぜひ行ってもらいたい宿です＾＾,2013-11-01 
横手市内が一望出来ます。,横手城展望台からは横手の街並みが一望出来ます。天気がよければ大仙市や湯沢の方も見えるかと思います。公共の交通手段がないので、行かれる方はタクシーまたはかまくら館でレンタサイクルを借りて行かれるのが良いと思います。,2013-07-01 
秋田でコーヒーと言ったら。,秋田県内で７店舗ほどあるコーヒーショップで秋田でコーヒーと言ったら某シアトル系コーヒーよりもこちらです。各種の豆をそろえており、豆だけでなく挽き方にもこだわりが多く豆の種類によっては挽き方まで指定できるものもあります。ケーキなどのデザートも充実しておりゆっくりと楽しめるお店です。,2016-03-01 
ゴーグルが必要！酸性度の高い天然野天風呂。,　小安峡温泉に行く途中に行きました。車を降りてずっと歩いて大湯滝まで行きますが、その道沿いに流れている川がすでに温泉になっています。詳しい人と一緒だったので、川の一か所がプールみたいになっているところがあり、まさに温泉ポイントがありました。ただ残念なことに最近雨が降ってないらしく、温度が高くて入ることはできませんでした。　さて道をずっと進んでいくと、かなり高い所から落ちる滝があり、その滝壺が温泉として入れるようになっています。温度も適温。さっそく水着に着替えて入りました。野趣あふれるダイナミックな温泉で最高の気分でした。何人かの人はゴーグルをかけて温泉に入っていました。温泉の酸性度がかなり高いため、滝の水しぶきが目に入り、目が開けられないところもありました。次回行くときは持参したいと思います。,2009-09-01 
角館の代名詞,秋田県の数少ない代表的な観光地の１つであり、角館、といえばこの武家屋敷通りが真っ先に思い浮かぶでしょう。「角館町角館伝統的建造物群保存地区」が、国の重要伝統的建造物群保存地区としての名称です。かつての中・下級武士の侍屋敷である旧家が建ち並ぶエリアで、当時の趣をよく残している場所だといえます。春は桜が美しく、冬は雪景色が美しいです。みちのくの小京都といわれるゆえんかもしれません。,2012-08-01 
共英パルスの前の湖岸をぶらぶらしました,ツアーで行き、たつこ像の所から入り、右回りで、田沢湖の上に秋田駒ヶ岳を望みながら昼食を食べにドライブインに行きました。その共栄パルスのすぐ前が田沢湖です。その湖岸から蓬莱の松がある付近までの湖岸が白浜というようです。ホテルやレストランなどがあります。,2014-11-01 
秋田港利用なら最寄,秋田港に最寄りのホテルです。翌日早い新日本海フェリーに乗船予定だったので便利でした。大浴場もゆっくりできてよい。が、子供連れの旅でしたが近くに子供が入れそうな飲食店がなく、結局居酒屋に。美味しかったからいいんですが。夕飯は近くに土崎駅があるので電車で秋田市内まで行くのもいいかも。,2013-05-01 
あいにくのお天気でちょっと残念ですが、見晴らしはすばらしい,夏休み。山の日の１日前。酒田市から遠望した鳥海山に登りました。秋田方向に走りつつ、海岸道路から右折。鳥海山のスカイラインをぐんぐん上ります。コーナーはそんなにきつくなく、道幅もありますので安心して上れると思います。ちょっと天気が悪く、８月初旬にしては肌寒い季候。駐車場はとても広く、登山される方はここに停めて上がられるのでしょう。雲の切れ間から日本海が見えた時はちょっと感動です。スカイラインも無料ですし、また天気が良い日に再挑戦したいです。お土産を売っている売店もあります。バイクでツーリングの方も多数いました。山の環境を維持する為にトイレはチップ制です。少額ですが入れました。,2016-08-01 
道の駅うご,新しく出来た道の駅だそうで、とても綺麗でした。有名だというジェラートをお目当てに訪問。ジェラートは滑らかで美味しい！コーンは市販のものなのでこだわりが欲しいところ。道の駅の物販はクレジットカードが使えます。,2017-05-01 
清潔感ある快適なビジネスホテル,子連れ旅行で利用しました。駅からは徒歩７分くらいですが、すぐにわかります。周辺にはコンビニはやファストフードもあり便利です。　館内や室内は清潔感があり、快適でした。セミダブルの部屋を利用しましたが、ビジネスホテルでは広く、荷物を置ける場所も十分にありました。　また館内にはスーパー銭湯があり、宿泊者は無料で利用できるのも、大変よかったです。　かまくら祭りの時に行きましたので、エントランス前にかまくらがありました。値段もリーズナブルでしたので、次回もまた利用したいと思います。,2015-02-01 
深夜がお得,寝過ごしてしまい、終点の秋田まできてしまい、終電も終わってしまっていたため、ホテル近くのホテルをさがしていたところ東口直結にこちらのホテルがあり助かりました。レイトチェックインとのことでお安く泊まるこができ、また助かりました。同じビルにコンビニあります。水・お湯は、廊下なので、こちらは残念でした。,2014-01-01 
遊べる たべれる,毎年一度はここの炭焼きのウインナーを食べたくて訪れます。ちょっとスパイシーなので、3才の子は食べられませんでしたが小学生は大丈夫の様でした。ほかにもチーズトーストやソフトクリームも食べて満足。ちゃんと食事ができるところもありますが、我が家はまだ利用したことがありません。子供が楽しめる乗り物や、乳絞りの模擬体験なんかも出来る様になっており、子供達はとても喜んでました。建物も改装して広く綺麗になっていて薪ストーブが存在感ありました。,2014-10-01 
レストランは月曜休業,比内地鶏で有名な比内町の道の駅です。お土産も比内地鶏関係のものがたくさん売っていました。施設内のトイレはかなり狭いです。敷地内のレストランは月曜が定休です。道の駅のレストランの定休日ってあんまり聞いたことないなーと思いましたが。,2013-06-01 
秋田の名物を一度にいただけます。,田沢湖駅前ロータリーにあるお土産屋さんと兼ねたお食事処です。テーブル席の奥にお座敷もあるようで、わりと大人数にも対応できるようです。こちらのお奨めメニューとして、「きりたんぽ稲庭うどん」があり、秋田名物のきりたんぽと稲庭うどんが一度に味わえます（ひょっとしたら、具材に使っていた鶏肉は比内地鶏なのかも）。気軽に入ることができるお店なので、お土産探しも兼ねてお店を覗いてみるのもいいかもしれません。,2014-09-01 
佐藤義亮の人物伝といった資料の方が目を引きました,新潮社記念文学館が、どうして角館にあるんだろうと思ってしまいましたが、新潮社を創設した佐藤義亮が仙北市角館町の出身なんですね。館内は、日本文学界の歴史を解説したものもありましたが、むしろ、貧しく孤独な暮らしの中で印刷工から校正係に抜擢されたことをきっかけに文壇への興味が膨らんでいったという佐藤義亮の人物伝といった資料の方が目を引きました。,2013-08-01 
由利本荘周辺の拠点に良いかも！,アクセスは微妙なところです。車の方なら問題ありませんが、電車では少し離れています。エアコンは埋め込みタイプではなく、家庭用と変わらないタイプです。ですので、空調の調整は可能です。鍵はオートロックです。カードをドアノブあたりに当てて、開けるタイプでした。（全室かはわかりません。）窓から見える景色は、綺麗です。ですが、少し海から離れています。海辺が希望だと、ここは泊まれません。海に夕日の沈む様を遠くから眺めるようなイメージが必要です。こだわりが特になければ、このホテルはお勧めです。,2012-07-01 
大規模リニューアルが続いた模様,一昨年４月に男女別新浴場「せせらぎの湯　和み」がオープン、続いて１２月に女性大浴場「美人の湯」露天風呂が拡大改装、そして今年４月に「源泉掛け流し露天風呂付客室」が４室新規改装オープン、と大規模リニューアルが続いた模様。露天風呂付客室を予約してみました。テレビは４０インチ。地デジのほかBSデジタルもバッチリでした。さて、お部屋の露天風呂はもちろん源泉掛け流しです。ドアを開けるとウッドデッキになっていて檜の露天風呂が。洗い場はなく、部屋のバスルームか大浴場を利用します。夕食は地元秋田の郷土色豊かなバイキングで大変おいしかったです。,2016-10-01 
デパート内のカフェ,　秋田市の西武百貨店の地下階食品フロアにあるカフェ。「CafenoBar」とも表記する。　他の西武百貨店でも展開している。　コーヒーを主体としたドリンクは勿論、軽食やデザートも提供する。　カフェタイムセットは、当店が提供するセットメニュー。　ケーキと、ドリンクのセット。　ケーキは3種類から選べ、ドリンクはコーヒー、紅茶等から選べる。,2012-06-01 
駅に直結,JR秋田駅に直結しているので，雨が降っていてもぬれずに移動できて大変便利なホテル。リーズナブルなビジネスホテルだが，室内は清潔で最低限度の設備がそろっている。朝食無料があるのも嬉しいが，朝のロビーはかなりごった返すので時間帯に気を付ける必要あり。,2012-08-01 
秋田、東北ならではの商品が並びます,西馬音内の市街地には和菓子屋さんがいくつかあって、この矢野商店もその一つ。小さなお店で品数は少ないですが、なるともち、あんびんなど、秋田、東北ならではの商品が並びます。あんびんをいただきましたが、伸びやかなお餅と素朴な餡子の甘さで、これは期待通り。年季を感じる味わいです。,2014-08-01 
テレビ撮影もしばしばあるらしいです。,夏休みに田舎に遊びに行った際、親戚に連れて行ってもらいました。外国から来た方もワリとおられましたよ（´∀｀）興味深そうに写真撮影してました(笑)昔の小道具が所々で発見されて、とても楽しく写真撮影出来ました。食処もありましたが、今回は寄りませんでした。お土産屋も結構ありましたよ～。名前忘れたのですが…資料館の様な所に入ったら、戦時に使われてた小道具や軍服、刀などもたくさん展示されてました。見ごたえ充分です!,2013-08-01 
夕方についてしまったので,国道１３号線沿いにある丸い特徴的な建物の道の駅です。到着が閉館１時間前だったので、直売所も外の売店も閉まっていて残念でした。駅自体の店内は明るくて、お土産も見やすい配置になっていました。二階のレストランの手もみぜんまい丼が気になったので、次は食べられる時間に行きたいと思います。,2013-06-01 
夕陽の時間帯が一番よいと思います,夕陽の時間帯に乗りました。全車指定席ですが運転席のうしろあたりの席など一部フリーのエリアがあります（どこかの指定席券を持っていないとだめです）。青森側の川部を出発すると岩木山を眺めながら津軽三味線の生演奏を楽しむことができます。鯵ヶ沢を過ぎるとやっと海が見えてきます。鯵ヶ沢～深浦は日中は極端に列車の本数が少ないので、千畳敷駅などを利用する際は予め時刻表をよく確認しておく必要があります。このあたり、車窓から手軽に荒々しい岩礁海岸の風景を眺めることができます。夕陽の時間帯はひとしおです。,2011-10-01 
シンプルな静かなホテルです。,秋田市内で料金と使いやすさでネットでこちらへ決めました。セミダブルでしたがそんなに狭く感じなかったです。湯船もまあまあ広くて使いやすかったです。次回使えるチェックアウト延長チケットやＡＰＡホテルのクレジットカードを作ると１０００円キャッシュバックなどいろんなキャンペーンもされてました。駅前の地図なんかもくれて簡単な観光場所も教えてくれて親切なスタッフさんもいらっしゃいました。,2016-06-01 
大浴場・夜鳴きそば目当ての出張利用,地方への出張時にはよく使わせてもらっています。今回の秋田は初めての利用。ホテルのユニットバスが嫌いで、いっそのことなければいい！なんて思ってたのですが、そんな時に西日本のある街で利用したのがきっかけです。まいどまいどお世話になっております。,2017-04-01 
男鹿への乗換駅,秋田市内の市街地に位置する奥羽本線の駅です。男鹿線の乗換駅ですが、男鹿線の列車が秋田から直通しているので、ここで乗り換える人は少ないかもしれません。リゾートしらかみも停車し、観光客にはなじみの深い駅です。,2012-08-01 
基本は居酒屋さんのようですがお昼も営業しています。,横手プラザホテルの並びにあります。基本は居酒屋さんのようですがお昼も営業しています。早めに行ったんですが昼時なので混みあって来ました。横手焼きそば四天王決定戦で4年連続グランプリに選ばれたお店らしいです。ここはやはりスタンダードな横手焼きそばを。玉子を砕いて麺と絡めて頂くのが正統派な横手焼きそばの食べ方だとか。。意外とさっぱりしています。ウスターソースが玉子と絡んでマイルドな味に。思っていたより全然しつこくないです。薄かったらどうぞという感じで特製ソースも常備されていました。麺はコシのない柔らかめな印象。普通に美味しかったです。,2012-01-01 
無料なのに本格的なタワー,秋田港を見下ろす高さ100ｍのタワーです。高さ100ｍというと横浜マリンタワーや神戸ポートタワーとほぼ同じ高さです。横浜と神戸は有料ですが、こちらは無料なのがいいですね。ただ、秋田の町はずれの秋田港にあり、駅からも遠く、交通が不便なところにあります。,2014-04-01 
ホームだけの駅を新幹線が通過する,田沢湖線の駅で、秋田新幹線のこまち号もここを走ります。鶯野や北大曲と同じ、ホームと待合室だけの簡素な駅です。このホームにいるといきなり新幹線が通過するのはすごい迫力です。周囲はのどかな田園地帯になっています。,2012-08-01 
面白かったです。,クルーザーを使ったユニークな企画があると聞き、友人と夕方からの合コンクルーズ(一般の方も参加できるそう)に参加しました。十和田湖遊覧船には何度か乗ったことがありますが、クルーザーツアーは特別保護区の秘境を巡ります。出会いは？？？でしたがクルーズ中にお友達もできました。パワースポット「占い場」や「神代ヶ浦の伝説のキリスト像」には驚きました。ミステリアスな湖です。,2014-05-01 
「落葉かりんとう」は、細長い板状のため、食感が硬め,秋田県仙北市角館町にお店を構えている「ゆかり堂製菓」の、看板商品「黒糖落ち葉かりんとう」と「なると餅」です。ふつうのかりんとうは、細長い円筒形で、噛むとサクサクしますが、こちらの「落葉かりんとう」は、細長い板状のため、食感が硬めでした。黒糖がかけてあり、ちょうど良い甘さでした。自分としては、さっくりとしたノーマルな、かりんとうの方が好きです。,2017-04-01 
黒とピンクのコントラスト,秋田県仙北市角館町の道路であり、古城山（かつて角館城があった地である）山麓の国道46号から南へ伸びて、かつての侍町である角館の内町をつらぬく南北方向の通りです。かつての中・下級武士の侍屋敷である旧家が建ち並び、黒板塀と枝垂桜の木立が大きな特徴となっている通りである。特に春の枝垂桜は見事で、花の時期には特に多くの観光客で賑わい、桧木内川堤のソメイヨシノとともに日本さくら名所100選にも選定されているただし、枝垂桜とソメイヨシノの開花時期はやや異なる為、一緒の時期に見ることができないのが残念です。,2010-04-01 
市街地の静かなところにある旅館,秋田市にある旅館です。少し歩くと大きな通りに出ますが、住宅地にあり、割と静かなところでした。ぱっと見た感じは普通の住宅と同じように見え、旅館とはきずかず、少しわかりにくかったです。建物は古く、トイレや風呂は共同でした。部屋は割と落ち着いた雰囲気だったので、ゆったりとできて良かったです。秋田に訪れたのは２回目だったので、市内はよくわからず知人との待ち合わせの場所を聞くと、旅館の人からはていねいに教えていただけたので助かり、良かったと思います。ホテルにはあまりないあたたかみというか、そういうものが感じられました。,2013-10-01 
ランチ,秋田市土崎のイオン土崎港店2階にありました。メニューには和洋中と何でもそろってあり、食べたいものが選べました。かつ重とそばのセットを注文したらボリュームがありすぎて、完食するのが大変でした。周辺にはランチをとることができる店が少ないので、貴重な店でした。,2016-04-01 
赤茶褐色の温泉が素晴らしい,碇ヶ関ＩＣより車で１０分足らず、国道７号線、矢立峠にある“道の駅やたて峠”の建物の中にあります。旅の情報誌でここの温泉がいいという記事を見たので、東北一周温泉巡りの際に日帰り入浴で利用しました。内風呂は、１５人ぐらいが入れる大きさ。源泉かけ流しのお湯は金色と言うか赤茶褐色で、よく見れば湯口から溢れるお湯は無色透明なのですが酸化して赤茶褐色になっているようでした。湯口から出るお湯を少しだけ舐めてみると、苦みと塩気とともに鉄味と金気臭が強く、少し熱めのお湯は肌に強いスベスベ感があり、いかにも体によさそうで、『温泉に浸かっている』という感じがとてもよかったです。露天風呂の方は、ウッドデッキ風の手作り感あふれる造りで、６～７人も入ればいっぱいになるほどの大きさでしたが、お湯は内風呂と同じ、源泉かけ流しで、高台にあるので見晴らしもよく、少しぬるめだったこともあって、ゆっくり温泉気分を楽しむことができました。日帰り入浴は大人３５０円と格安で、リンスインシャンプーとボディソープ、ドライヤーなどはありました。鉄分の臭いがきついなど、人によって好みが分れると思いますが、いかにも温泉らしいお湯は、温泉好きの人なら宿泊してゆっくり源泉かけ流しを楽しむ価値があると思います。,2015-10-01 
西に500mほどの,ＪＲ秋田駅西口から西に延びる約500mほどある商店街です。広小路や中央通りのより狭いのと駅とにぎわい交流館AUやなかいちの間の小路なので自動車の通行量が極端に低くショッピングや音楽鑑賞、美術館鑑賞などに人の流れができるくらいでしょうから、市内散策する観光客には利用をお勧めしたい通りです。,2015-05-01 
４館入場券でお得感が有りました,横手城跡に立つ展望博物館です。本来天守閣を持たなかった横手城らしいので，完全に博物館として建てられた模擬天守閣でした。でも博物館とは言っても，横手城跡に建てたのですから，もう少し横手城の歴史に関する説明が欲しいところです。酒瓶などの展示物が有るのは，酒処だからでしょうか？ただ展望台からの横手市街の眺めは良かったです。なお，この横手城展望台以外に，①かまくら館，②石坂洋次郎記念館，③後三年の役金沢資料館の計４館に入れる共通券が￥１００で購入できます。４館全て行って，かなりお得感が有りました。,2015-07-01 
コストパフォーマンス抜群,秋田駅からわずか１００ｍほどの便利な立地。ホテル駐車場もすぐ隣（５００円）で便利。ツインルームに宿泊しましたが、朝食付きの料金を考えるとお得感があります。設備等も問題なく、バス・トイレも清潔にされていました。,2013-10-01 
柿の味わいがリアルにいいですね。,木村屋は、横手の大町にある老舗の和菓子屋さん。黒いしっくい壁のりっぱな構えです。看板商品は、大正期からの伝統を持つ柿羊羹。しかし、ちょこっと食べるわけにいかないので、私は、「不老柿」を店内でいただきました。干し柿の中にお餅まで入って、これはおいしいし、柿の味わいがリアルにいいですね。今だと干し柿のおいしさも忘れられてきたかもしれませんが、これはまじでいいです。,2013-02-01 
日帰り温泉入浴400円,しょっぱい温泉です。ぽかぽかして湯冷めしにくい温泉だと思います。公共の宿だから、お得です。日替え温泉では、昼食付プラン1200円というのもあり、食事・休憩・温泉一日楽しめます。国道13号のバイパスから旧道に入ったところにあります。,2015-02-01 
秋田の空の玄関口,秋田駅西口からリムジンバスで35分、運賃は930円です。秋田空港は、1階が航空会社カウンター、2階が出発ロビーになっており、2階には飲食店、お土産屋さん、クレジットカードラウンジがあります。飲食店は少ないながらも秋田の名物ハタハタや比内地鶏も食べることができるので早めに空港に行って秋田料理に舌鼓をうつのもありでしょう。,2015-04-01 
空港の1階,秋田空港国内線ターミナルの1階にあります。全く普通のファミリーマートです。せっかく空港にあるのだから、もう少しお土産物などを売っていたらいいのにと思いましたが、観光客が群がらないで地元の人にはいいのかもしれません。,2016-02-01 
